Red List,,,Black List,,,Blue Companies
Cisco,Tracom Technologies/Academy,,Paystack,Open Institute,,Flutterwave
Google,Zuri Health,,Twiga Foods,Carble,,Wapi Pay
Microsoft,Ultratude Technnolgies,,Antara Health,SPENN,,Yoco
Facebook,Mobidev,,mPharma,iFunza,,Leta
IBM,Finplus Group,,Ilara Health,Project Code,,Kobo360
Amazon,Brave Ventures Lab,,Waclouds Uganda,637 Capital,,Wasoko
Tala,OTB Africa,,Cellulant,Pesapal ,,Databricks
Safaricom,Fintech Group,,Ajua,Aspira,,Yashio
Oracle,Eclectics International,,Utu,Poa Internet,,Turing
Rova Digital,Kytabu,,Pula,Ona,,Kuda
House Africa,Mfarm,,Ampersand,Curva Digital,,Instacart
Mobineo,FarmDrive,,Shara,Kuja Kuja,,Kapu
Brance Technology/Indexfand,Qhala,,Keiphone Global,Sstream,,Wowzi
Ongair,One  Acre Fund,,iPay,Hybrid Fusion Medicals,,Nala
Mofit,Valu8/Value Chain Factory,,Kotani Pay,Africa Practice,,Stripe
I  Earn Kenya,Synnefa,,Sendy,eMaisha Pay,,Workato
Wexer Brand,Top Up Mama,,Apollo Agriculture,AkiraChix,,Cowrywise
Pezesha,Mpowa - Rwanda,,Sunculture,Sovereign Nature,,Arifu
Craft Silicon,The  Bhub,,mPedigree,Sibel Health,,Zipline
Little Cab,Savannah Informatics,,Lipa Later,Gessic,,Kwara
Zeraki,Duhqa,,Lendable,The Golazo Project - Uganda,,Tibu Health
Lynk,Quikk,,Kapsule,KOKO Networks,,Canonical
Samasource,SkyWorld,,Adanian Labs,Nouveta,,Wazi
Andela,Livecode Technologies,,Africa's Talking,Amarula  Solutions,,Techno Brain Group Ltd
Aza Finance,Lincore Technologies,,Food For Education,Esri Rwanda,,Umba
